category,size,weight
2 Pack Joggers,7-8Y,518
2 Pack Leggings,9-12M,102
2 Pack Leggings,12-18M,112
2 Pack Leggings,18-24M,126
2 Pack Leggings,2-3Y,138
2 Pack Leggings,3-4Y,156
2 Pack Leggings,4-5Y,168
2 Pack Leggings,5-6Y,174
2 Pack Leggings,6-7Y,180
2 Pack Leggings,7-8Y,206
2 Pack Leggings,8-9Y,210
2 Pack Leggings,9-10Y,258
2 Pack Muslin Cap Mitten Booty Set,Standard,76
2 Pack Muslin Hooded Towel,Standard,250
2 Pack Muslin Langoti,Standard,55
2 Pack Muslin Napkin,Standard,16
2 Pack Muslin Swaddle,Standard,260
2 Pack Muslin Wash Cloth,Standard,16
2 Pack Sweatshirts,3-6M,210
2 Pack Sweatshirts,6-9M,222
2 Pack Sweatshirts,9-12M,254
2 Pack Sweatshirts,12-18M,266
2 Pack Sweatshirts,18-24M,298
2 Pack Sweatshirts,2-3Y,328
2 Pack Sweatshirts,3-4Y,346
2 Pack Sweatshirts,4-5Y,382
2 Pack Sweatshirts,5-6Y,402
2 Pack Sweatshirts,6-7Y,434
2 Pack Sweatshirts,7-8Y,464
2 Pack T-Shirt,0-3M,88
2 Pack T-Shirt,3-6M,94
2 Pack T-Shirt,6-9M,104
2 Pack T-Shirt,9-12M,112
2 Pack T-Shirt,12-18M,120
2 Pack T-Shirt,18-24M,130
2 Pack T-Shirt,2-3Y,138
2 Pack T-Shirt,3-4Y,146
2 Pack T-Shirt,4-5Y,154
2 Pack T-Shirt,5-6Y,162
2 Pack T-Shirt,6-7Y,194
2 Pack T-Shirt,7-8Y,212
2 Pack T-Shirt,8-9Y,248
2 Pack T-Shirt,9-10Y,266
3 Pack Cotton Joggers,9-12M,204
3 Pack Cotton Joggers,12-18M,237
3 Pack Cotton Joggers,18-24M,261
3 Pack Cotton Joggers,2-3Y,270
3 Pack Cotton Joggers,3-4Y,309
3 Pack Cotton Joggers,4-5Y,351
3 Pack Cotton Joggers,5-6Y,375
3 Pack Cotton Joggers,6-7Y,432
3 Pack Cotton Joggers,7-8Y,471
3 Pack Cotton Joggers,8-9Y,504
3 Pack Cotton Joggers,9-10Y,540
3 Pack Cotton Shorts,9-12M,171
3 Pack Cotton Shorts,12-18M,209
3 Pack Cotton Shorts,18-24M,194
3 Pack Cotton Shorts,2-3Y,227
3 Pack Cotton Shorts,3-4Y,229
3 Pack Cotton Shorts,4-5Y,250
3 Pack Cotton Shorts,5-6Y,269
3 Pack Cotton Shorts,6-7Y,270
3 Pack Cotton Shorts,7-8Y,273
3 Pack Cotton Shorts,8-9Y,303
3 Pack Cotton Shorts,9-10Y,324
3 Pack FS Bodysuit,0-3M,180
3 Pack FS Bodysuit,3-6M,186
3 Pack FS Bodysuit,6-9M,201
3 Pack FS Bodysuit,9-12M,219
3 Pack FS Bodysuit,12-18M,237
3 Pack FS T-Shirt,0-3M,156
3 Pack FS T-Shirt,3-6M,174
3 Pack FS T-Shirt,6-9M,192
3 Pack FS T-Shirt,9-12M,210
3 Pack FS T-Shirt,12-18M,228
3 Pack FS T-Shirt,18-24M,246
