category,size,weight
Sweatshirt & Joggers Set,9-12M,240
Sweatshirt & Joggers Set,12-18M,258
Sweatshirt & Joggers Set,18-24M,295
Sweatshirt & Joggers Set,2-3Y,330
Sweatshirt & Joggers Set,3-4Y,356
Sweatshirt & Joggers Set,4-5Y,399
Sweatshirt & Joggers Set,5-6Y,422
Sweatshirt & Joggers Set,6-7Y,459
Sweatshirt & Joggers Set,7-8Y,491
T-shirt,0-3M,44
T-shirt,3-6M,47
T-shirt,6-9M,52
T-shirt,9-12M,56
T-shirt,12-18M,60
T-shirt,18-24M,65
T-shirt,2-3Y,69
T-shirt,3-4Y,73
T-shirt,4-5Y,77
T-shirt,5-6Y,81
T-shirt,6-7Y,97
T-shirt,7-8Y,106
T-shirt,8-9Y,124
T-shirt,9-10Y,133
T-Shirt & Pant,0-3M,86
T-Shirt & Pant,3-6M,93
T-Shirt & Pant,6-9M,99
T-Shirt & Pant,9-12M,112
T-Shirt & Pant,12-18M,122
T-Shirt & Pant,18-24M,136
T-Shirt & Pant,2-3Y,147
T-Shirt & Pant,3-4Y,160
T-Shirt & Pant,4-5Y,168
T-Shirt & Pant,5-6Y,186
T-Shirt & Short,0-3M,78
T-Shirt & Short,3-6M,82
T-Shirt & Short,6-9M,90
T-Shirt & Short,9-12M,98
T-Shirt & Short,12-18M,105
T-Shirt & Short,18-24M,114
T-Shirt & Short,2-3Y,122
T-Shirt & Short,3-4Y,131
T-Shirt & Short,4-5Y,139
T-Shirt & Short,5-6Y,148
